sample,acc
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.0625
16,0.0588235
17,0.0555556
18,0.0526316
19,0.05
20,0.047619
21,0.0454545
22,0.0434783
23,0.0416667
24,0.04
25,0.0384615
26,0.037037
27,0.0714286
28,0.0689655
29,0.0666667
30,0.0967742
31,0.09375
32,0.0909091
33,0.0882353
34,0.0857143
35,0.0833333
36,0.0810811
37,0.0789474
38,0.0769231
39,0.075
40,0.0731707
41,0.0714286
42,0.0697674
43,0.0681818
44,0.0888889
45,0.0869565
46,0.0851064
47,0.0833333
48,0.0816327
49,0.1
50,0.117647
51,0.115385
52,0.113208
53,0.111111
54,0.109091
55,0.107143
56,0.105263
57,0.103448
58,0.101695
59,0.1
60,0.0983607
61,0.0967742
62,0.0952381
63,0.09375
64,0.0923077
65,0.0909091
66,0.0895522
67,0.0882353
68,0.101449
69,0.114286
70,0.112676
71,0.111111
72,0.109589
73,0.108108
74,0.106667
75,0.118421
76,0.116883
77,0.115385
78,0.113924
79,0.1125
80,0.111111
81,0.121951
82,0.120482
83,0.119048
84,0.117647
85,0.116279
86,0.114943
87,0.113636
88,0.123596
89,0.122222
90,0.120879
91,0.119565
92,0.11828
93,0.117021
94,0.115789
95,0.125
96,0.123711
97,0.122449
98,0.121212
99,0.12
100,0.118812
101,0.117647
102,0.116505
103,0.115385
104,0.114286
105,0.113208
106,0.11215
107,0.111111
108,0.119266
109,0.118182
110,0.117117
111,0.116071
112,0.123894
113,0.122807
114,0.130435
115,0.12931
116,0.128205
117,0.127119
118,0.134454
119,0.141667
120,0.140496
121,0.147541
122,0.146341
123,0.145161
124,0.152
125,0.150794
126,0.149606
127,0.148438
128,0.147287
129,0.146154
130,0.145038
131,0.143939
132,0.142857
133,0.141791
134,0.140741
135,0.139706
136,0.138686
137,0.137681
138,0.136691
139,0.135714
140,0.134752
141,0.133803
142,0.132867
143,0.131944
144,0.131034
145,0.130137
146,0.129252
147,0.128378
148,0.127517
149,0.126667
150,0.125828
151,0.125
152,0.130719
153,0.12987
154,0.129032
155,0.128205
156,0.133758
157,0.132911
158,0.132075
159,0.13125
160,0.130435
161,0.12963
162,0.128834
163,0.128049
164,0.127273
165,0.13253
166,0.131737
167,0.130952
168,0.130178
169,0.135294
170,0.134503
171,0.133721
172,0.132948
173,0.132184
174,0.137143
175,0.136364
176,0.141243
177,0.140449
178,0.139665
179,0.138889
180,0.138122
181,0.137363
182,0.136612
183,0.13587
184,0.135135
185,0.134409
186,0.13369
187,0.132979
188,0.132275
189,0.131579
190,0.136126
191,0.135417
192,0.134715
193,0.134021
194,0.133333
195,0.132653
196,0.13198
197,0.131313
198,0.130653
199,0.135
200,0.134328
201,0.133663
202,0.133005
203,0.132353
204,0.131707
205,0.131068
206,0.130435
207,0.129808
208,0.133971
209,0.138095
210,0.14218
211,0.146226
212,0.14554
213,0.149533
214,0.148837
215,0.152778
216,0.156682
217,0.155963
218,0.155251
219,0.154545
220,0.158371
221,0.157658
222,0.156951
223,0.15625
224,0.155556
225,0.154867
226,0.154185
227,0.153509
228,0.152838
229,0.156522
230,0.160173
231,0.163793
232,0.16309
233,0.166667
234,0.170213
235,0.169492
236,0.168776
237,0.172269
238,0.171548
239,0.170833
240,0.170124
241,0.169421
242,0.168724
243,0.172131
244,0.171429
245,0.170732
246,0.174089
247,0.173387
248,0.176707
249,0.18
250,0.179283
251,0.18254
252,0.185771
253,0.185039
254,0.184314
255,0.183594
256,0.182879
257,0.182171
258,0.181467
259,0.180769
260,0.183908
261,0.183206
262,0.18251
263,0.181818
264,0.181132
265,0.180451
266,0.179775
267,0.179104
268,0.178439
269,0.181481
270,0.184502
271,0.183824
272,0.18315
273,0.182482
274,0.181818
275,0.184783
276,0.187726
277,0.190647
278,0.189964
279,0.192857
280,0.192171
281,0.195035
282,0.194346
283,0.197183
284,0.196491
285,0.195804
286,0.195122
287,0.194444
288,0.193772
289,0.196552
290,0.199313
291,0.202055
292,0.201365
293,0.204082
294,0.20678
295,0.206081
296,0.208754
297,0.211409
298,0.214047
299,0.216667
300,0.215947
301,0.215232
302,0.217822
303,0.220395
304,0.219672
305,0.218954
306,0.218241
307,0.217532
308,0.216828
309,0.219355
310,0.221865
311,0.221154
312,0.220447
313,0.219745
314,0.219048
315,0.221519
316,0.22082
317,0.220126
318,0.219436
319,0.21875
320,0.221184
321,0.220497
322,0.219814
323,0.222222
324,0.221538
325,0.223926
326,0.2263
327,0.22561
328,0.224924
329,0.227273
330,0.226586
331,0.228916
332,0.228228
333,0.227545
334,0.226866
335,0.22619
336,0.225519
337,0.227811
338,0.230089
339,0.232353
340,0.231672
341,0.233918
342,0.233236
343,0.232558
344,0.234783
345,0.236994
346,0.236311
347,0.235632
348,0.234957
349,0.237143
350,0.239316
351,0.241477
352,0.240793
353,0.242938
354,0.242254
355,0.244382
356,0.243697
357,0.24581
358,0.247911
359,0.25
360,0.249307
361,0.251381
362,0.253444
363,0.255495
364,0.257534
365,0.259563
366,0.26158
367,0.263587
368,0.262873
369,0.264865
370,0.264151
371,0.266129
372,0.268097
373,0.270053
374,0.269333
375,0.271277
376,0.270557
377,0.272487
378,0.274406
379,0.276316
380,0.278215
381,0.280105
382,0.281984
383,0.283854
384,0.283117
385,0.284974
386,0.284238
387,0.286082
388,0.285347
389,0.284615
390,0.286445
391,0.288265
392,0.287532
393,0.286802
394,0.288608
395,0.287879
396,0.287154
397,0.288945
398,0.290727
399,0.2925
400,0.294264
401,0.293532
402,0.295285
403,0.294554
404,0.293827
405,0.293103
406,0.29484
407,0.294118
408,0.295844
409,0.295122
410,0.296837
411,0.298544
412,0.297821
413,0.299517
414,0.298795
415,0.298077
416,0.29976
417,0.299043
418,0.298329
419,0.297619
420,0.296912
421,0.296209
422,0.297872
423,0.29717
424,0.296471
425,0.295775
426,0.297424
427,0.299065
428,0.298368
429,0.3
430,0.299304
431,0.298611
432,0.300231
433,0.301843
434,0.303448
435,0.305046
436,0.304348
437,0.303653
438,0.302961
439,0.302273
440,0.303855
441,0.30543
442,0.30474
443,0.306306
444,0.305618
445,0.304933
446,0.304251
447,0.305804
448,0.30735
449,0.308889
450,0.310421
451,0.311947
452,0.311258
453,0.312775
454,0.314286
455,0.315789
456,0.315098
457,0.316594
458,0.318083
459,0.317391
460,0.318872
461,0.320346
462,0.321814
463,0.321121
464,0.322581
465,0.321888
466,0.32334
467,0.32265
468,0.321962
469,0.321277
470,0.322718
471,0.322034
472,0.321353
473,0.322785
474,0.322105
475,0.323529
476,0.324948
477,0.32636
478,0.325678
479,0.325
480,0.324324
481,0.325726
482,0.327122
483,0.328512
484,0.329897
485,0.329218
486,0.328542
487,0.327869
488,0.327198
489,0.328571
490,0.329939
491,0.331301
492,0.332657
493,0.334008
494,0.333333
495,0.332661
496,0.331992
497,0.331325
498,0.332665
499,0.332
500,0.331337
501,0.330677
502,0.33002
503,0.329365
504,0.328713
505,0.33004
506,0.331361
507,0.332677
508,0.333988
509,0.333333
510,0.334638
511,0.333984
512,0.333333
513,0.332685
514,0.332039
515,0.331395
516,0.330754
517,0.330116
518,0.331407
519,0.332692
520,0.332054
521,0.333333
522,0.334608
523,0.333969
524,0.335238
525,0.334601
526,0.335863
527,0.337121
528,0.336484
529,0.335849
530,0.335217
531,0.334586
532,0.333959
533,0.335206
534,0.336449
535,0.337687
536,0.33892
537,0.340149
538,0.341373
539,0.340741
540,0.340111
541,0.339483
542,0.3407
543,0.341912
544,0.341284
545,0.340659
546,0.340037
547,0.341241
548,0.340619
549,0.34
550,0.341198
551,0.342391
552,0.34358
553,0.344765
554,0.344144
555,0.345324
556,0.346499
557,0.345878
558,0.345259
559,0.344643
560,0.344029
561,0.343416
562,0.344583
563,0.345745
564,0.346903
565,0.34629
566,0.347443
567,0.348592
568,0.349736
569,0.350877
570,0.352014
571,0.351399
572,0.352531
573,0.353659
574,0.353043
575,0.352431
576,0.35182
577,0.352941
578,0.354059
579,0.353448
580,0.35284
581,0.353952
582,0.35506
583,0.354452
584,0.355556
585,0.356655
586,0.357751
587,0.358844
588,0.358234
589,0.357627
590,0.358714
591,0.359797
592,0.359191
593,0.360269
594,0.359664
595,0.360738
596,0.361809
597,0.361204
598,0.360601
599,0.36
600,0.361065
601,0.362126
602,0.361526
603,0.362583
604,0.363636
605,0.364686
606,0.365733
607,0.365132
608,0.364532
609,0.365574
610,0.364975
611,0.364379
612,0.365416
613,0.364821
614,0.364228
615,0.363636
616,0.364668
617,0.364078
618,0.365105
619,0.364516
620,0.363929
621,0.364952
622,0.364366
623,0.365385
624,0.3664
625,0.367412
626,0.366826
627,0.366242
628,0.36566
629,0.366667
630,0.366086
631,0.365506
632,0.366509
633,0.367508
634,0.366929
635,0.367925
636,0.368917
637,0.369906
638,0.370892
639,0.371875
640,0.372855
641,0.372274
642,0.37325
643,0.372671
644,0.372093
645,0.371517
646,0.370943
647,0.371914
648,0.372881
649,0.373846
650,0.373272
651,0.374233
652,0.375191
653,0.374618
654,0.375573
655,0.375
656,0.375951
657,0.3769
658,0.377845
659,0.377273
660,0.378215
661,0.379154
662,0.380091
663,0.381024
664,0.380451
665,0.381381
666,0.382309
667,0.383234
668,0.384155
669,0.385075
670,0.384501
671,0.385417
672,0.38633
673,0.38724
674,0.386667
675,0.387574
676,0.388479
677,0.387906
678,0.388807
679,0.388235
680,0.387665
681,0.387097
682,0.38653
683,0.387427
684,0.388321
685,0.387755
686,0.388646
687,0.388081
688,0.387518
689,0.388406
690,0.387844
691,0.388728
692,0.38961
693,0.39049
694,0.389928
695,0.389368
696,0.388809
697,0.389685
698,0.390558
699,0.39
700,0.39087
701,0.391738
702,0.391181
703,0.392045
704,0.391489
705,0.390935
706,0.391796
707,0.391243
708,0.390691
709,0.391549
710,0.392405
711,0.393258
712,0.392707
713,0.393557
714,0.394406
715,0.395251
716,0.396095
717,0.396936
718,0.397775
719,0.397222
720,0.396671
721,0.397507
722,0.396957
723,0.39779
724,0.398621
725,0.398072
726,0.397524
727,0.396978
728,0.397805
729,0.39863
730,0.398085
731,0.398907
732,0.399727
733,0.400545
734,0.4
735,0.400815
736,0.401628
737,0.402439
738,0.403248
739,0.404054
740,0.404858
741,0.404313
742,0.405114
743,0.405914
744,0.405369
745,0.406166
746,0.405622
747,0.406417
748,0.405874
749,0.405333
750,0.406125
751,0.406915
752,0.406375
753,0.407162
754,0.407947
755,0.407407
756,0.406869
757,0.406332
758,0.405797
759,0.406579
760,0.406045
761,0.406824
762,0.407602
763,0.407068
764,0.406536
765,0.407311
766,0.408083
767,0.407552
768,0.407022
769,0.407792
770,0.407263
771,0.406736
772,0.40621
773,0.406977
774,0.407742
775,0.407216
776,0.406692
777,0.407455
778,0.406932
779,0.407692
780,0.408451
781,0.409207
782,0.408685
783,0.409439
784,0.408917
785,0.409669
786,0.410419
787,0.411168
788,0.411914
789,0.411392
790,0.412137
791,0.411616
792,0.411097
793,0.411839
794,0.412579
795,0.413317
796,0.412798
797,0.412281
798,0.413016
799,0.41375
800,0.414482
801,0.413965
802,0.414695
803,0.415423
804,0.416149
805,0.416873
806,0.417596
807,0.417079
808,0.416564
809,0.417284
810,0.418002
811,0.417488
812,0.418204
813,0.41769
814,0.418405
815,0.417892
816,0.418605
817,0.418093
818,0.418803
819,0.419512
820,0.420219
821,0.419708
822,0.420413
823,0.419903
824,0.420606
825,0.421308
826,0.420798
827,0.421498
828,0.420989
829,0.421687
830,0.422383
831,0.421875
832,0.422569
833,0.423261
834,0.422754
835,0.423445
836,0.424134
837,0.424821
838,0.425507
839,0.42619
840,0.425684
841,0.426366
842,0.42586
843,0.425355
844,0.424852
845,0.425532
846,0.42621
847,0.425708
848,0.426384
849,0.427059
850,0.426557
851,0.42723
852,0.427902
853,0.428571
854,0.42807
855,0.428738
856,0.428238
857,0.427739
858,0.427241
859,0.427907
860,0.428571
861,0.428074
862,0.427578
863,0.427083
864,0.42659
865,0.426097
866,0.425606
867,0.426267
868,0.426928
869,0.427586
870,0.427095
871,0.427752
872,0.428408
873,0.429062
874,0.429714
875,0.430365
876,0.429875
877,0.430524
878,0.431172
879,0.430682
880,0.431328
881,0.431973
882,0.432616
883,0.433258
884,0.432768
885,0.43228
886,0.431793
887,0.431306
888,0.431946
889,0.432584
890,0.433221
891,0.433857
892,0.433371
893,0.434004
894,0.434637
895,0.435268
896,0.435897
897,0.436526
898,0.437152
899,0.436667
900,0.436182
901,0.436807
902,0.436323
903,0.436947
904,0.437569
905,0.43819
906,0.438809
907,0.439427
908,0.440044
909,0.440659
910,0.440176
911,0.440789
912,0.440307
913,0.439825
914,0.440437
915,0.439956
916,0.439477
917,0.440087
918,0.440696
919,0.441304
920,0.441911
921,0.441432
922,0.442037
923,0.441558
924,0.441081
925,0.440605
926,0.441208
927,0.44181
928,0.442411
929,0.441935
930,0.441461
931,0.44206
932,0.441586
933,0.441114
934,0.441711
935,0.442308
936,0.442903
937,0.443497
938,0.443024
939,0.443617
940,0.443146
941,0.443737
942,0.444327
943,0.443856
944,0.444444
945,0.445032
946,0.444562
947,0.444093
948,0.444679
949,0.445263
950,0.445846
951,0.446429
952,0.447009
953,0.446541
954,0.44712
955,0.447699
956,0.448276
957,0.448852
958,0.449426
959,0.45
960,0.449532
961,0.450104
962,0.450675
963,0.450207
964,0.449741
965,0.450311
966,0.449845
967,0.44938
968,0.449948
969,0.450515
970,0.451081
971,0.451646
972,0.451182
973,0.451745
974,0.451282
975,0.451844
976,0.452405
977,0.452965
978,0.453524
979,0.454082
980,0.453619
981,0.454175
982,0.45473
983,0.454268
984,0.454822
985,0.454361
986,0.453901
987,0.454453
988,0.455005
989,0.455556
990,0.456105
991,0.456653
992,0.456193
993,0.45674
994,0.457286
995,0.456827
996,0.457372
997,0.457916
998,0.457457
999,0.458
1000,0.458541
1001,0.459082
1002,0.459621
1003,0.460159
1004,0.459701
1005,0.459245
1006,0.459782
1007,0.460317
1008,0.460852
1009,0.460396
1010,0.46093
1011,0.460474
1012,0.461007
1013,0.460552
1014,0.461084
1015,0.461614
1016,0.46116
1017,0.46169
1018,0.462218
1019,0.461765
1020,0.462292
1021,0.462818
1022,0.463343
1023,0.463867
1024,0.463415
1025,0.462963
1026,0.462512
1027,0.462062
1028,0.462585
1029,0.463107
1030,0.462658
1031,0.463178
1032,0.46273
1033,0.46325
1034,0.463768
1035,0.46332
1036,0.462874
1037,0.463391
1038,0.462945
1039,0.4625
1040,0.463016
1041,0.463532
1042,0.464046
1043,0.464559
1044,0.465072
1045,0.464627
1046,0.465138
1047,0.464695
1048,0.465205
1049,0.465714
1050,0.466223
1051,0.46673
1052,0.467236
1053,0.467742
1054,0.468246
1055,0.46875
1056,0.468307
1057,0.468809
1058,0.468366
1059,0.467925
1060,0.468426
1061,0.467985
1062,0.467545
1063,0.467105
1064,0.466667
1065,0.467167
1066,0.466729
1067,0.466292
1068,0.466791
1069,0.46729
1070,0.466853
1071,0.466418
1072,0.466915
1073,0.467412
1074,0.466977
1075,0.466543
1076,0.467038
1077,0.467532
1078,0.468026
1079,0.467593
1080,0.468085
1081,0.468577
1082,0.469067
1083,0.468635
1084,0.469124
1085,0.469613
1086,0.470101
1087,0.469669
1088,0.469238
1089,0.468807
1090,0.469294
1091,0.46978
1092,0.470265
1093,0.47075
1094,0.471233
1095,0.471715
1096,0.472197
1097,0.471767
1098,0.472248
1099,0.472727
1100,0.473206
1101,0.473684
1102,0.474161
1103,0.473732
1104,0.473303
1105,0.473779
1106,0.473351
1107,0.473827
1108,0.474301
1109,0.473874
1110,0.474347
1111,0.473921
1112,0.474394
1113,0.474865
1114,0.475336
1115,0.475806
1116,0.47538
1117,0.47585
1118,0.476318
1119,0.476786
1120,0.47636
1121,0.476827
1122,0.477293
1123,0.477758
1124,0.478222
1125,0.478686
1126,0.479148
1127,0.478723
1128,0.479185
1129,0.478761
1130,0.479222
1131,0.479682
1132,0.480141
1133,0.4806
1134,0.480176
1135,0.479754
1136,0.480211
1137,0.479789
1138,0.479368
1139,0.479825
1140,0.48028
1141,0.47986
1142,0.480315
1143,0.480769
1144,0.481223
1145,0.481675
1146,0.482127
1147,0.481707
1148,0.482158
1149,0.481739
1150,0.482189
1151,0.482639
1152,0.483088
1153,0.483536
1154,0.483983
1155,0.484429
1156,0.484875
1157,0.48532
1158,0.485764
1159,0.486207
1160,0.486649
1161,0.487091
1162,0.486672
1163,0.487113
1164,0.487554
1165,0.487993
1166,0.488432
1167,0.48887
1168,0.489307
1169,0.488889
1170,0.488471
1171,0.488908
1172,0.488491
1173,0.488075
1174,0.488511
1175,0.488946
1176,0.48938
1177,0.488964
1178,0.489398
1179,0.48983
1180,0.490262
1181,0.490694
1182,0.491124
1183,0.491554
1184,0.491983
1185,0.491568
1186,0.491997
1187,0.492424
1188,0.492851
1189,0.493277
1190,0.492863
1191,0.493289
1192,0.493713
1193,0.4933
1194,0.492887
1195,0.493311
1196,0.493734
1197,0.494157
1198,0.494579
1199,0.495
1200,0.49542
1201,0.49584
1202,0.496259
1203,0.496678
1204,0.497095
1205,0.497512
1206,0.4971
1207,0.496689
1208,0.497105
1209,0.497521
1210,0.49711
1211,0.497525
1212,0.497939
1213,0.497529
1214,0.497119
1215,0.497533
1216,0.497946
1217,0.498358
1218,0.497949
1219,0.497541
1220,0.497952
1221,0.497545
1222,0.497138
1223,0.496732
1224,0.497143
1225,0.497553
1226,0.497148
1227,0.497557
1228,0.497966
1229,0.498374
1230,0.498781
1231,0.499188
1232,0.499594
1233,0.49919
1234,0.498785
1235,0.498382
1236,0.498787
1237,0.499192
1238,0.499596
1239,0.499194
1240,0.498791
1241,0.49839
1242,0.498793
1243,0.499196
1244,0.498795
1245,0.498395
1246,0.498797
1247,0.499199
1248,0.498799
1249,0.4992
1250,0.498801
1251,0.498403
1252,0.498803
1253,0.498405
1254,0.498008
1255,0.498408
1256,0.498011
1257,0.49841
1258,0.498809
1259,0.498413
1260,0.498017
1261,0.498415
1262,0.498021
1263,0.498418
1264,0.498814
1265,0.49842
1266,0.498027
1267,0.497634
1268,0.497242
1269,0.49685
1270,0.496459
1271,0.496855
1272,0.496465
1273,0.49686
1274,0.496471
1275,0.496865
1276,0.496476
1277,0.49687
1278,0.496482
1279,0.496094
1280,0.495706
1281,0.49532
1282,0.494934
1283,0.494548
1284,0.494163
1285,0.493779
1286,0.493396
1287,0.493789
1288,0.494182
1289,0.493798
1290,0.493416
1291,0.493034
1292,0.492653
1293,0.493045
1294,0.492664
1295,0.492284
1296,0.491904
1297,0.492296
1298,0.491917
1299,0.492308
1300,0.492698
1301,0.492319
1302,0.492709
1303,0.493098
1304,0.493487
1305,0.493874
1306,0.494262
1307,0.494648
1308,0.49427
1309,0.494657
1310,0.495042
1311,0.494665
1312,0.49505
1313,0.495434
1314,0.495817
1315,0.496201
1316,0.496583
1317,0.496965
1318,0.497346
1319,0.49697
1320,0.49735
1321,0.497731
1322,0.49811
1323,0.498489
1324,0.498113
1325,0.497738
1326,0.498116
1327,0.498494
1328,0.498119
1329,0.497744
1330,0.498122
1331,0.498498
1332,0.498875
1333,0.49925
1334,0.498876
1335,0.499251
1336,0.499626
1337,0.5
1338,0.500373
1339,0.5
1340,0.500373
1341,0.500745
1342,0.500372
1343,0.500744
1344,0.500372
1345,0.5
1346,0.500371
1347,0.500742
1348,0.501112
1349,0.501481
1350,0.50185
1351,0.502219
1352,0.501848
1353,0.502216
1354,0.502583
1355,0.502212
1356,0.501842
1357,0.502209
1358,0.502575
1359,0.502941
1360,0.502572
1361,0.502203
1362,0.501834
1363,0.502199
1364,0.501832
1365,0.502196
1366,0.50256
1367,0.502924
1368,0.503287
1369,0.50365
1370,0.504012
1371,0.504373
1372,0.504734
1373,0.504367
1374,0.504
1375,0.50436
1376,0.503994
1377,0.503628
1378,0.503988
1379,0.503623
1380,0.503259
1381,0.503618
1382,0.503254
1383,0.503613
1384,0.503249
1385,0.503608
1386,0.503965
1387,0.503602
1388,0.50324
1389,0.503597
1390,0.503235
1391,0.503592
1392,0.503948
1393,0.504304
1394,0.504659
1395,0.505014
1396,0.505369
1397,0.505722
1398,0.506076
1399,0.506429
1400,0.506781
1401,0.507133
1402,0.506771
1403,0.507123
1404,0.506762
1405,0.507112
1406,0.506752
1407,0.507102
1408,0.506742
1409,0.507092
1410,0.507442
1411,0.507082
1412,0.506723
1413,0.506365
1414,0.506007
1415,0.506356
1416,0.506704
1417,0.507052
1418,0.5074
1419,0.507042
1420,0.506685
1421,0.507032
1422,0.507379
1423,0.507725
1424,0.50807
1425,0.508415
1426,0.50876
1427,0.509104
1428,0.508747
1429,0.509091
1430,0.508735
1431,0.509078
1432,0.509421
1433,0.509066
1434,0.508711
1435,0.509053
1436,0.509395
1437,0.509736
1438,0.510076
1439,0.510417
1440,0.510062
1441,0.509709
1442,0.509355
1443,0.509695
1444,0.510035
1445,0.510373
1446,0.510021
1447,0.510359
1448,0.510007
1449,0.510345
1450,0.510682
1451,0.511019
1452,0.511356
1453,0.511004
1454,0.510653
1455,0.510302
1456,0.510638
1457,0.510974
1458,0.511309
1459,0.511644
1460,0.511978
1461,0.512312
1462,0.511962
1463,0.512295
1464,0.511945
1465,0.512278
1466,0.511929
1467,0.51158
1468,0.511232
1469,0.511565
1470,0.511897
1471,0.512228
1472,0.512559
1473,0.512212
1474,0.512542
1475,0.512873
1476,0.513202
1477,0.512855
1478,0.513185
1479,0.513514
1480,0.513842
1481,0.513495
1482,0.513823
1483,0.514151
1484,0.514478
1485,0.514805
1486,0.515131
1487,0.514785
1488,0.515111
1489,0.515436
1490,0.515761
1491,0.516086
1492,0.51574
1493,0.516064
1494,0.516388
1495,0.516711
1496,0.517034
1497,0.517356
1498,0.517678
1499,0.518
1500,0.518321
1501,0.518642
1502,0.518962
1503,0.519282
1504,0.519601
1505,0.51992
1506,0.520239
1507,0.520557
1508,0.520875
1509,0.52053
1510,0.520847
1511,0.521164
1512,0.52082
1513,0.521136
1514,0.521452
1515,0.521768
1516,0.522083
1517,0.522398
1518,0.522054
1519,0.522368
1520,0.522682
1521,0.522996
1522,0.522653
1523,0.522966
1524,0.523279
1525,0.523591
1526,0.523903
1527,0.524215
1528,0.524526
1529,0.524837
1530,0.525147
1531,0.524804
1532,0.525114
1533,0.525424
1534,0.525733
1535,0.525391
1536,0.525699
1537,0.526008
1538,0.525666
1539,0.525974
1540,0.526282
1541,0.526589
1542,0.526248
1543,0.526554
1544,0.526861
1545,0.52652
1546,0.526826
1547,0.527132
1548,0.527437
1549,0.527742
1550,0.528046
1551,0.528351
1552,0.52801
1553,0.528314
1554,0.527974
1555,0.527635
1556,0.527938
1557,0.528241
1558,0.528544
1559,0.528846
1560,0.528507
1561,0.528809
1562,0.529111
1563,0.529412
1564,0.529712
1565,0.530013
1566,0.530313
1567,0.530612
1568,0.530911
1569,0.53121
1570,0.531509
1571,0.531807
1572,0.531469
1573,0.531131
1574,0.530794
1575,0.530457
1576,0.530755
1577,0.531052
1578,0.531349
1579,0.531646
1580,0.531942
1581,0.532238
1582,0.532533
1583,0.532828
1584,0.533123
1585,0.533417
1586,0.533081
1587,0.532746
1588,0.53304
1589,0.533333
1590,0.533627
1591,0.533291
1592,0.532957
1593,0.532622
1594,0.532915
1595,0.533208
1596,0.5335
1597,0.533792
1598,0.533458
1599,0.53375
1600,0.533417
1601,0.533708
1602,0.533999
1603,0.534289
1604,0.533956
1605,0.534247
1606,0.534536
1607,0.534826
1608,0.535115
1609,0.535404
1610,0.535692
1611,0.53598
1612,0.536268
1613,0.536555
1614,0.536223
1615,0.53651
1616,0.536178
1617,0.536465
1618,0.536133
1619,0.53642
1620,0.536089
1621,0.536375
1622,0.536044
1623,0.53633
1624,0.536615
1625,0.5369
1626,0.537185
1627,0.537469
1628,0.537753
1629,0.538037
1630,0.53832
1631,0.538603
1632,0.538885
1633,0.539168
1634,0.53945
1635,0.53912
1636,0.539401
1637,0.539683
1638,0.539353
1639,0.539634
1640,0.539915
1641,0.540195
1642,0.539866
1643,0.540146
1644,0.540426
1645,0.540705
1646,0.540984
1647,0.541262
1648,0.540934
1649,0.541212
1650,0.54149
1651,0.541768
1652,0.542045
1653,0.542322
1654,0.542598
1655,0.542874
1656,0.542547
1657,0.54222
1658,0.542495
1659,0.542771
1660,0.542444
1661,0.54272
1662,0.542393
1663,0.542668
1664,0.542943
1665,0.543217
1666,0.543491
1667,0.543765
1668,0.544038
1669,0.544311
1670,0.544584
1671,0.544856
1672,0.545129
1673,0.5454
1674,0.545075
1675,0.545346
1676,0.545021
1677,0.545292
1678,0.545563
1679,0.545833
1680,0.546104
1681,0.546373
1682,0.546643
1683,0.546318
1684,0.545994
1685,0.546263
1686,0.546532
1687,0.546801
1688,0.546477
1689,0.546746
1690,0.547014
1691,0.547281
1692,0.547549
1693,0.547816
1694,0.548083
1695,0.547759
1696,0.548026
1697,0.548292
1698,0.548558
1699,0.548824
1700,0.549089
1701,0.549354
1702,0.549618
1703,0.549883
1704,0.54956
1705,0.549824
1706,0.550088
1707,0.550351
1708,0.550614
